Jdatet	Time	PRN	Ele	Stec	Vtec
2459399.546181	1.108333	1	30.03	16.69	5.23
2459399.546528	1.116667	1	30.23	16.64	5.25
2459399.546875	1.125	1	30.44	16.58	5.25
2459399.547222	1.133333	1	30.64	16.51	5.25
2459399.547569	1.141667	1	30.84	16.4	5.22
2459399.547917	1.15	1	31.05	16.31	5.21
2459399.548264	1.158333	1	31.25	16.22	5.2
2459399.548611	1.166667	1	31.46	16.1	5.17
2459399.548958	1.175	1	31.66	15.99	5.14
2459399.549306	1.183333	1	31.87	15.91	5.13
2459399.549653	1.191667	1	32.07	15.83	5.12
2459399.55	1.2	1	32.28	15.7	5.09
2459399.550347	1.208333	1	32.48	15.61	5.07
2459399.550694	1.216667	1	32.69	15.54	5.07
2459399.551042	1.225	1	32.89	15.49	5.08
2459399.551389	1.233333	1	33.1	15.4	5.05
2459399.551736	1.241667	1	33.31	15.29	5.03
2459399.552083	1.25	1	33.51	15.19	5.0
2459399.552431	1.258333	1	33.72	15.1	4.99
2459399.552778	1.266667	1	33.92	15.04	4.98
2459399.553125	1.275	1	34.13	14.96	4.97
2459399.553472	1.283333	1	34.34	14.91	4.98
2459399.553819	1.291667	1	34.54	14.83	4.96
2459399.554167	1.3	1	34.75	14.74	4.94
2459399.554514	1.308333	1	34.96	14.69	4.95
2459399.554861	1.316667	1	35.17	14.65	4.95
2459399.555208	1.325	1	35.37	14.61	4.97
2459399.555556	1.333333	1	35.58	14.54	4.96
2459399.555903	1.341667	1	35.79	14.44	4.93
2459399.55625	1.35	1	36.0	14.36	4.92
2459399.556597	1.358333	1	36.21	14.27	4.89
2459399.556944	1.366667	1	36.41	14.2	4.88
2459399.557292	1.375	1	36.62	14.15	4.88
2459399.557639	1.383333	1	36.83	14.06	4.86
2459399.557986	1.391667	1	37.04	13.97	4.83
2459399.558333	1.4	1	37.25	13.9	4.82
2459399.558681	1.408333	1	37.46	13.84	4.82
2459399.559028	1.416667	1	37.67	13.8	4.82
2459399.559375	1.425	1	37.88	13.73	4.8
2459399.559722	1.433333	1	38.09	13.68	4.8
2459399.560069	1.441667	1	38.3	13.61	4.79
2459399.560417	1.45	1	38.51	13.57	4.8
2459399.560764	1.458333	1	38.72	13.51	4.79
2459399.561111	1.466667	1	38.93	13.43	4.77
2459399.561458	1.475	1	39.14	13.38	4.77
2459399.561806	1.483333	1	39.35	13.32	4.76
2459399.562153	1.491667	1	39.56	13.26	4.75
2459399.5625	1.5	1	39.77	13.2	4.74
2459399.562847	1.508333	1	39.98	13.15	4.73
2459399.563194	1.516667	1	40.19	13.09	4.73
2459399.563542	1.525	1	40.41	13.02	4.71
2459399.563889	1.533333	1	40.62	12.99	4.72
2459399.564236	1.541667	1	40.83	12.92	4.7
2459399.564583	1.55	1	41.04	12.89	4.71
2459399.564931	1.558333	1	41.25	12.82	4.69
2459399.565278	1.566667	1	41.47	12.81	4.71
2459399.565625	1.575	1	41.68	12.75	4.7
2459399.565972	1.583333	1	41.89	12.68	4.69
2459399.566319	1.591667	1	42.11	12.61	4.66
2459399.566667	1.6	1	42.32	12.56	4.65
2459399.567014	1.608333	1	42.53	12.5	4.64
2459399.567361	1.616667	1	42.75	12.45	4.64
2459399.567708	1.625	1	42.96	12.4	4.63
2459399.568056	1.633333	1	43.17	12.34	4.62
2459399.568403	1.641667	1	43.39	12.32	4.63
2459399.56875	1.65	1	43.6	12.26	4.61
2459399.569097	1.658333	1	43.82	12.2	4.6
2459399.569444	1.666667	1	44.03	12.14	4.58
2459399.569792	1.675	1	44.24	12.08	4.57
2459399.570139	1.683333	1	44.46	12.02	4.55
2459399.570486	1.691667	1	44.67	11.98	4.54
2459399.570833	1.7	1	44.89	11.92	4.53
2459399.571181	1.708333	1	45.1	11.88	4.53
2459399.571528	1.716667	1	45.32	11.85	4.53
2459399.571875	1.725	1	45.54	11.82	4.54
2459399.572222	1.733333	1	45.75	11.79	4.54
2459399.572569	1.741667	1	45.97	11.75	4.54
2459399.572917	1.75	1	46.18	11.7	4.52
2459399.573264	1.758333	1	46.4	11.68	4.54
2459399.573611	1.766667	1	46.62	11.64	4.54
2459399.573958	1.775	1	46.83	11.6	4.53
2459399.574306	1.783333	1	47.05	11.55	4.51
2459399.574653	1.791667	1	47.27	11.51	4.51
2459399.575	1.8	1	47.49	11.49	4.52
2459399.575347	1.808333	1	47.7	11.44	4.51
2459399.575694	1.816667	1	47.92	11.41	4.51
2459399.576042	1.825	1	48.14	11.37	4.5
2459399.576389	1.833333	1	48.36	11.31	4.48
2459399.576736	1.841667	1	48.57	11.26	4.47
2459399.577083	1.85	1	48.79	11.23	4.47
2459399.577431	1.858333	1	49.01	11.22	4.48
2459399.577778	1.866667	1	49.23	11.16	4.47
2459399.578125	1.875	1	49.45	11.13	4.46
2459399.578472	1.883333	1	49.67	11.1	4.47
2459399.578819	1.891667	1	49.89	11.07	4.47
2459399.579167	1.9	1	50.11	11.03	4.45
2459399.579514	1.908333	1	50.33	11.0	4.45
2459399.579861	1.916667	1	50.54	10.96	4.45
2459399.580208	1.925	1	50.76	10.94	4.46
2459399.580556	1.933333	1	50.98	10.92	4.46
2459399.580903	1.941667	1	51.2	10.88	4.45
2459399.58125	1.95	1	51.43	10.85	4.45
2459399.581597	1.958333	1	51.65	10.81	4.44
2459399.581944	1.966667	1	51.87	10.8	4.45
2459399.582292	1.975	1	52.09	10.74	4.43
2459399.582639	1.983333	1	52.31	10.69	4.41
2459399.582986	1.991667	1	52.53	10.66	4.41
2459399.583333	2.0	1	52.75	10.62	4.4
2459399.583681	2.008333	1	52.97	10.59	4.39
2459399.584028	2.016667	1	53.19	10.54	4.38
2459399.584375	2.025	1	53.42	10.5	4.36
2459399.584722	2.033333	1	53.64	10.47	4.36
2459399.585069	2.041667	1	53.86	10.42	4.34
2459399.585417	2.05	1	54.08	10.37	4.32
2459399.585764	2.058333	1	54.3	10.32	4.29
2459399.586111	2.066667	1	54.53	10.28	4.28
2459399.586458	2.075	1	54.75	10.25	4.28
2459399.586806	2.083333	1	54.97	10.21	4.27
2459399.587153	2.091667	1	55.2	10.17	4.25
2459399.5875	2.1	1	55.42	10.13	4.24
2459399.587847	2.108333	1	55.64	10.09	4.22
2459399.588194	2.116667	1	55.87	10.04	4.2
2459399.588542	2.125	1	56.09	10.0	4.18
2459399.588889	2.133333	1	56.31	9.94	4.15
2459399.589236	2.141667	1	56.54	9.92	4.16
2459399.589583	2.15	1	56.76	9.9	4.16
2459399.589931	2.158333	1	56.99	9.88	4.16
2459399.590278	2.166667	1	57.21	9.85	4.15
2459399.590625	2.175	1	57.44	9.84	4.16
2459399.590972	2.183333	1	57.66	9.8	4.14
2459399.591319	2.191667	1	57.89	9.77	4.14
2459399.591667	2.2	1	58.11	9.73	4.12
2459399.592014	2.208333	1	58.34	9.7	4.11
2459399.592361	2.216667	1	58.56	9.66	4.1
2459399.592708	2.225	1	58.79	9.63	4.08
2459399.593056	2.233333	1	59.01	9.61	4.08
2459399.593403	2.241667	1	59.24	9.58	4.07
2459399.59375	2.25	1	59.47	9.6	4.11
2459399.594097	2.258333	1	59.69	9.56	4.09
2459399.594444	2.266667	1	59.92	9.55	4.1
2459399.594792	2.275	1	60.15	9.52	4.09
2459399.595139	2.283333	1	60.37	9.51	4.1
2459399.595486	2.291667	1	60.6	9.47	4.08
2459399.595833	2.3	1	60.83	9.44	4.07
2459399.596181	2.308333	1	61.05	9.42	4.07
2459399.596528	2.316667	1	61.28	9.4	4.07
2459399.596875	2.325	1	61.51	9.38	4.07
2459399.597222	2.333333	1	61.74	9.38	4.08
2459399.597569	2.341667	1	61.97	9.36	4.08
2459399.597917	2.35	1	62.19	9.35	4.09
2459399.598264	2.358333	1	62.42	9.33	4.08
2459399.598611	2.366667	1	62.65	9.32	4.09
2459399.598958	2.375	1	62.88	9.31	4.1
2459399.599306	2.383333	1	63.11	9.28	4.09
2459399.599653	2.391667	1	63.34	9.29	4.11
2459399.6	2.4	1	63.56	9.29	4.12
2459399.600347	2.408333	1	63.79	9.28	4.13
2459399.600694	2.416667	1	64.02	9.27	4.13
2459399.601042	2.425	1	64.25	9.25	4.12
2459399.601389	2.433333	1	64.48	9.26	4.15
2459399.601736	2.441667	1	64.71	9.25	4.16
2459399.602083	2.45	1	64.94	9.26	4.18
2459399.602431	2.458333	1	65.17	9.22	4.16
2459399.602778	2.466667	1	65.4	9.21	4.16
2459399.603125	2.475	1	65.63	9.21	4.18
2459399.603472	2.483333	1	65.86	9.2	4.18
2459399.603819	2.491667	1	66.09	9.19	4.18
2459399.604167	2.5	1	66.32	9.17	4.18
2459399.604514	2.508333	1	66.55	9.17	4.19
2459399.604861	2.516667	1	66.78	9.16	4.2
2459399.605208	2.525	1	67.02	9.15	4.2
2459399.605556	2.533333	1	67.25	9.13	4.19
2459399.605903	2.541667	1	67.48	9.15	4.23
2459399.60625	2.55	1	67.71	9.12	4.21
2459399.606597	2.558333	1	67.94	9.11	4.21
2459399.606944	2.566667	1	68.17	9.09	4.2
2459399.607292	2.575	1	68.4	9.09	4.22
2459399.607639	2.583333	1	68.64	9.08	4.22
2459399.607986	2.591667	1	68.87	9.06	4.22
2459399.608333	2.6	1	69.1	9.05	4.22
2459399.608681	2.608333	1	69.33	9.04	4.22
2459399.609028	2.616667	1	69.57	9.03	4.22
2459399.609375	2.625	1	69.8	9.01	4.21
2459399.609722	2.633333	1	70.03	9.0	4.21
2459399.610069	2.641667	1	70.26	8.97	4.2
2459399.610417	2.65	1	70.5	8.97	4.21
2459399.610764	2.658333	1	70.73	8.95	4.2
2459399.611111	2.666667	1	70.96	8.95	4.21
2459399.611458	2.675	1	71.2	8.94	4.21
2459399.611806	2.683333	1	71.43	8.92	4.2
2459399.612153	2.691667	1	71.66	8.9	4.19
2459399.6125	2.7	1	71.9	8.89	4.19
2459399.612847	2.708333	1	72.13	8.86	4.18
2459399.613194	2.716667	1	72.36	8.86	4.19
2459399.613542	2.725	1	72.6	8.85	4.19
2459399.613889	2.733333	1	72.83	8.84	4.19
2459399.614236	2.741667	1	73.06	8.82	4.17
2459399.614583	2.75	1	73.3	8.81	4.18
2459399.614931	2.758333	1	73.53	8.82	4.19
2459399.615278	2.766667	1	73.77	8.8	4.18
2459399.615625	2.775	1	74.0	8.8	4.19
2459399.615972	2.783333	1	74.24	8.79	4.19
2459399.616319	2.791667	1	74.47	8.79	4.2
2459399.616667	2.8	1	74.7	8.79	4.21
2459399.617014	2.808333	1	74.94	8.76	4.19
2459399.617361	2.816667	1	75.17	8.77	4.2
2459399.617708	2.825	1	75.41	8.75	4.2
2459399.618056	2.833333	1	75.64	8.74	4.19
2459399.618403	2.841667	1	75.88	8.73	4.19
2459399.61875	2.85	1	76.11	8.69	4.16
2459399.619097	2.858333	1	76.35	8.69	4.17
2459399.619444	2.866667	1	76.58	8.65	4.14
2459399.619792	2.875	1	76.82	8.64	4.14
2459399.620139	2.883333	1	77.05	8.64	4.14
2459399.620486	2.891667	1	77.29	8.64	4.15
2459399.620833	2.9	1	77.52	8.62	4.14
2459399.621181	2.908333	1	77.76	8.63	4.15
2459399.621528	2.916667	1	77.99	8.61	4.14
2459399.621875	2.925	1	78.23	8.61	4.14
2459399.622222	2.933333	1	78.46	8.6	4.14
2459399.622569	2.941667	1	78.7	8.59	4.14
2459399.622917	2.95	1	78.94	8.57	4.12
2459399.623264	2.958333	1	79.17	8.56	4.12
2459399.623611	2.966667	1	79.41	8.54	4.11
2459399.623958	2.975	1	79.64	8.53	4.1
2459399.624306	2.983333	1	79.88	8.52	4.1
2459399.624653	2.991667	1	80.11	8.52	4.11
2459399.625	3.0	1	80.35	8.52	4.11
2459399.625347	3.008333	1	80.58	8.52	4.12
2459399.625694	3.016667	1	80.81	8.52	4.12
2459399.626042	3.025	1	81.05	8.52	4.13
2459399.626389	3.033333	1	81.28	8.5	4.11
2459399.626736	3.041667	1	81.52	8.49	4.1
2459399.627083	3.05	1	81.75	8.47	4.09
2459399.627431	3.058333	1	81.98	8.47	4.1
2459399.627778	3.066667	1	82.22	8.47	4.1
2459399.628125	3.075	1	82.45	8.46	4.09
2459399.628472	3.083333	1	82.68	8.46	4.1
